time,tl_id,current_phase,current_demand,best_phase,best_demand,action
513,cluster_1345077844_2589681474_8228683608_8228683609,0,6,0,11,CHANGE
516,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
519,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
522,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
525,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
528,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
531,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
534,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,11,CHANGE
537,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
540,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
543,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
546,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
549,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
552,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
555,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
558,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
561,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
564,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
567,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
570,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
573,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
576,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
579,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
582,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
585,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
588,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
591,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
594,cluster_1345077844_2589681474_8228683608_8228683609,0,12,0,12,HOLD
597,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
600,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
603,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
606,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
609,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
612,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
615,cluster_1345077844_2589681474_8228683608_8228683609,0,14,0,14,HOLD
618,cluster_1345077844_2589681474_8228683608_8228683609,0,14,0,14,HOLD
621,cluster_1345077844_2589681474_8228683608_8228683609,0,15,0,15,HOLD
624,cluster_1345077844_2589681474_8228683608_8228683609,0,16,0,16,HOLD
627,cluster_1345077844_2589681474_8228683608_8228683609,0,16,0,16,HOLD
630,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
633,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
636,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
639,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
642,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,TIMEOUT
645,cluster_1345077844_2589681474_8228683608_8228683609,0,16,0,16,HOLD
648,cluster_1345077844_2589681474_8228683608_8228683609,0,15,0,15,HOLD
651,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
654,cluster_1345077844_2589681474_8228683608_8228683609,0,12,0,12,HOLD
657,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
660,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
663,cluster_1345077844_2589681474_8228683608_8228683609,0,8,6,9,HOLD
666,cluster_1345077844_2589681474_8228683608_8228683609,0,8,6,9,HOLD
669,cluster_1345077844_2589681474_8228683608_8228683609,0,8,6,9,HOLD
672,cluster_1345077844_2589681474_8228683608_8228683609,0,8,6,9,HOLD
675,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
678,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
681,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
684,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
687,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
690,cluster_1345077844_2589681474_8228683608_8228683609,0,12,0,12,HOLD
693,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
696,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
699,cluster_1345077844_2589681474_8228683608_8228683609,0,14,0,14,HOLD
702,cluster_1345077844_2589681474_8228683608_8228683609,0,15,0,15,HOLD
705,cluster_1345077844_2589681474_8228683608_8228683609,0,16,0,16,HOLD
708,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
711,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
714,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
717,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
720,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
723,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
726,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
729,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,HOLD
